"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cd79a",1.44007996060924e-241,2.00619652235731,0.995,0.655,2.03684909628571e-237
"Rack1",2.95682395975971e-237,0.962330083404157,1,1,4.18213180868413e-233
"Cd37",1.60130463243378e-228,1.81951782599573,1,0.716,2.26488527211433e-224
"Cd52",4.35611340622795e-190,1.29494975102352,1,0.986,6.16128680176882e-186
"Cd79b",4.82892371409813e-172,1.85675766623138,0.969,0.428,6.8300297012204e-168
"H2-DMb2",1.33869561499172e-162,1.14845049015597,1,0.998,1.89345107784428e-158
"Ikzf3",1.40229358091529e-148,1.44165228340748,0.979,0.576,1.98340404084658e-144
"H2-Ob",8.31118794108216e-142,1.39409789169864,0.969,0.734,1.17553442238666e-137
"Cd19",2.7649686964921e-137,1.58251038303167,0.932,0.293,3.91077172431842e-133
"Sftpc",3.60062171229711e-135,-1.35242047083369,1,1,5.09271934987303e-131
"Spib",1.81417171816105e-125,1.37902762179211,0.906,0.291,2.56596447816699e-121
"Tnfrsf13c",1.06133063728474e-118,1.50623382827982,0.87,0.215,1.50114605337554e-114
"Pou2af1",1.25562986508215e-117,1.56563921255679,0.979,0.532,1.7759628811722e-113
"Arhgdib",1.25646118523391e-115,1.05362291096542,0.995,0.923,1.77713870039484e-111
"Mfge8",1.27297125191806e-115,1.38041935344092,0.948,0.886,1.80049053871291e-111
"Ager",2.33995622579577e-114,-1.51450039949166,0.766,0.986,3.30963408576553e-110
"Ighd",1.30395276717131e-113,1.42576873493623,0.87,0.252,1.8443107938871e-109
"Ptprc",1.13977846747975e-112,0.961789129524107,1,0.99,1.61210266440336e-108
"Limd2",2.96485887145143e-110,0.945890832565001,0.99,0.973,4.19349638778091e-106
"Gimap1",1.78477606997102e-106,1.03540951368446,0.974,0.872,2.52438727336701e-102
"Gm10260",4.68033709146138e-106,0.77749903426352,1,1,6.61986878216297e-102
"Cd72",3.59062701902356e-101,1.29822156020123,0.849,0.372,5.07858285570692e-97
"Ccr6",1.75149092628712e-100,1.36722864745295,0.812,0.293,2.4773087661405e-96
"Ltb",2.59175143266921e-96,1.2028070362147,0.917,0.398,3.66577322636733e-92
"Ptprcap",1.33750934389837e-95,1.16405263161549,0.875,0.346,1.89177321600986e-91
"Clic5",2.10171876192784e-95,-1.47987392902347,0.688,0.97,2.97267101687073e-91
"Timp3",3.68127282209407e-92,-1.60837985830423,0.703,0.967,5.20679227956986e-88
"Ptpn18",1.36819340996491e-90,0.896402580484928,0.995,0.959,1.93517275905437e-86
"App",1.25981012468783e-89,-0.919574627972679,1,1,1.78187544035847e-85
"Man1a",1.88256977997965e-82,1.06708361547737,0.948,0.594,2.66270669680322e-78
"Gimap7",3.02818327538454e-79,1.08836816358704,0.948,0.466,4.2830624247039e-75
"Blnk",5.31467287102758e-78,1.05138518384179,0.792,0.309,7.51707330878142e-74
"Tns1",1.99521270604364e-76,-1.59020691890056,0.604,0.929,2.82202885142813e-72
"Mgp",7.29267264880103e-76,-0.907798302579338,0.927,0.999,1.03147561944642e-71
"Cnp",5.16303767182635e-74,0.963474123974886,0.948,0.607,7.30260048303119e-70
