"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cr2",8.11184094814175e-111,1.3335167756732,0.781,0.14,1.14733878370517e-106
"Tnfrsf13c",6.61015769985995e-109,1.50623382827982,0.87,0.215,9.34940705068192e-105
"Cd19",1.79869526060116e-100,1.58251038303167,0.932,0.293,2.54407457659428e-96
"Cd79a",6.88218522050975e-100,2.00619652235731,0.995,0.655,9.73416277588899e-96
"Cxcr5",5.65610835267893e-98,1.02451627960703,0.719,0.128,7.99999965402908e-94
"Fcrla",9.07003503088177e-93,0.988883496501892,0.797,0.175,1.28286575476792e-88
"Cd79b",1.74434251501045e-92,1.85675766623138,0.969,0.428,2.46719805323078e-88
"Ighd",6.21310173640043e-91,1.42576873493623,0.87,0.252,8.78781109596477e-87
"Spib",7.11552692649099e-90,1.37902762179211,0.906,0.291,1.00642012848289e-85
"Fcrl5",9.23532018369156e-89,0.936773613525724,0.615,0.097,1.30624368678133e-84
"Bank1",1.37412531879029e-88,1.13179064149073,0.734,0.159,1.94356285089698e-84
"Cd37",2.51301952128187e-88,1.81951782599573,1,0.716,3.55441481090107e-84
"Pou2af1",5.79406428894728e-85,1.56563921255679,0.979,0.532,8.19512453028703e-81
"Rack1",4.43187545870005e-83,0.962330083404157,1,1,6.26844464878535e-79
"Ikzf3",2.56531712172238e-78,1.44165228340748,0.979,0.576,3.62838453696413e-74
"Iglc3",9.82871389793191e-78,1.14789869511231,0.823,0.247,1.39017329372349e-73
"Cd52",3.06635274179936e-76,1.29494975102352,1,0.986,4.33704931800102e-72
"Pax5",1.30120965300895e-75,0.941962239130419,0.703,0.16,1.84043093321586e-71
"Pla2g2d",8.49195113752536e-74,0.933419031681815,0.76,0.193,1.20110156889159e-69
"Blk",3.92273109326065e-73,0.652755690776095,0.516,0.076,5.54831085830787e-69
"Ltb",5.29623624812385e-72,1.2028070362147,0.917,0.398,7.49099654934638e-68
"Ptprcap",1.74210645181138e-71,1.16405263161549,0.875,0.346,2.46403536544202e-67
"H2-DMb2",2.94604082845354e-71,1.14845049015597,1,0.998,4.16688014776468e-67
"Cd22",1.26970114313192e-69,0.839631592043797,0.714,0.175,1.79586529684579e-65
"Ager",1.34711864455439e-68,-1.51450039949166,0.766,0.986,1.90536461085773e-64
"Clic5",2.58801484488e-68,-1.47987392902347,0.688,0.97,3.66048819659827e-64
"Ccr6",4.76218483847262e-68,1.36722864745295,0.812,0.293,6.73563423553567e-64
"Dtx1",8.1191403275133e-68,0.522796803537943,0.411,0.047,1.14837120792348e-63
"Mzb1",4.14447363336026e-67,1.26622010499828,0.979,0.562,5.86194350702475e-63
"Sftpc",1.72342710696572e-66,-1.35242047083369,1,1,2.43761530009231e-62
"App",2.57253751737813e-66,-0.919574627972679,1,1,3.63859706457962e-62
"Il9r",5.687280894319e-66,0.540326150689883,0.443,0.059,8.04409009692479e-62
"Timp3",2.39222668191087e-65,-1.60837985830423,0.703,0.967,3.38356541889474e-61
"Ighm",7.90283540442543e-65,1.52002525425801,1,0.961,1.11777703960193e-60
"Gimap7",5.25265459972772e-64,1.08836816358704,0.948,0.466,7.42935466585489e-60
"H2-Ob",3.25993647260012e-63,1.39409789169864,0.969,0.734,4.61085414684562e-59
"Cd72",1.92466334563585e-62,1.29822156020123,0.849,0.372,2.72224383606735e-58
"Ptprc",2.62974868090025e-62,0.961789129524107,1,0.99,3.71951653426532e-58
"Siglecg",2.76957476482999e-62,0.633883732790927,0.526,0.097,3.91728654737554e-58
"Gm10260",8.51346110412785e-60,0.77749903426352,1,1,1.20414393856784e-55
"Man1a",1.4528740263255e-59,1.06708361547737,0.948,0.594,2.05494502283479e-55
"Gimap1",2.65731228627429e-58,1.03540951368446,0.974,0.872,3.75850249770635e-54
"Limd2",5.67451620445503e-58,0.945890832565001,0.99,0.973,8.0260357195812e-54
"Arhgdib",6.2265812737983e-58,1.05362291096542,0.995,0.923,8.80687655366032e-54
"Ptpn18",1.65809588553783e-57,0.896402580484928,0.995,0.959,2.34521082050471e-53
"Blnk",7.63126611737824e-57,1.05138518384179,0.792,0.309,1.07936627964198e-52
"Tns1",7.93139242873096e-57,-1.59020691890056,0.604,0.929,1.12181614511971e-52
"Slco2b1",8.8272005010599e-57,0.564261591857725,0.531,0.105,1.24851923886991e-52
"Acap1",1.25776388999146e-55,0.982212707861072,0.885,0.411,1.77898124600392e-51
"Vegfa",1.26591912095486e-54,-1.37590789556622,0.589,0.929,1.79051600467855e-50
"Cilp",2.02742712321741e-54,0.442271067479114,0.37,0.049,2.8675929230787e-50
"Ffar2",3.40843536591269e-54,0.643608889802618,0.583,0.139,4.82089098154692e-50
"Ms4a1",3.72564442243974e-54,0.443183033449116,0.401,0.059,5.26955147109877e-50
"Bend5",9.4701368516782e-54,0.541998064257416,0.516,0.105,1.33945615630137e-49
"Tgm2",2.49575028844902e-53,-0.884479863749172,0.911,0.999,3.52998920798229e-49
"Epas1",6.28517443633566e-53,-1.61518746667289,0.583,0.919,8.88975072275316e-49
"Fam129c",4.67767810303256e-52,0.537248400102054,0.396,0.062,6.61610790892926e-48
"Ly6d",7.95022180566917e-52,0.59334132648503,0.505,0.107,1.12447937219385e-47
"Cnp",1.02405102820889e-51,0.963474123974886,0.948,0.607,1.44841777429865e-47
"Cldn5",1.96508445097182e-51,-1.78423855142356,0.323,0.817,2.77941544745455e-47
"Xdh",1.04389654816687e-50,-1.02882561734353,0.698,0.979,1.47648727772722e-46
