"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fscn1",5.04892939094478e-20,1.006536829235,0.903,0.528,7.1412057305523e-16
"Ager",2.40738630258856e-18,-0.921012118149752,0.86,0.969,3.40500718638127e-14
"Il12b",3.12375604788749e-18,0.333953846450379,0.29,0.057,4.41824055413207e-14
"Adam8",1.85042327169853e-17,0.568724088985168,0.774,0.354,2.6172386754904e-13
"Vegfa",1.4536222595185e-16,-0.990221044983709,0.656,0.908,2.05600332386296e-12
"Itk",1.61767029190256e-16,0.532762734587933,0.763,0.354,2.28803286086698e-12
"Trbc2",2.67318882409574e-16,0.715652976246179,0.925,0.739,3.78095827280101e-12
"Sftpc",5.87386289519248e-16,-0.742291029766089,1,1,8.30799167896024e-12
"Timp3",6.00549998695999e-16,-0.985188720161386,0.828,0.947,8.49417918155621e-12
"Tns1",9.95639588824403e-16,-1.06418734211708,0.753,0.904,1.40823263443324e-11
"Inmt",9.96472326630893e-16,-1.53275709344516,0.344,0.684,1.40941045878673e-11
"Ccr7",2.33367958642289e-15,0.648807160602118,0.624,0.271,3.30075640703653e-11
"App",4.63132063879484e-15,-0.522268610289255,1,1,6.55053991151142e-11
"Mmp25",1.3926124184902e-14,0.407688286868105,0.43,0.14,1.96971100471254e-10
"Trac",1.58031871397229e-14,0.607015743356403,0.828,0.435,2.23520278904241e-10
"Clic5",1.86169612334031e-14,-0.792179883773298,0.796,0.949,2.63318299685254e-10
"Slco2a1",1.95021483167489e-14,-0.803118823123498,0.495,0.78,2.75838385792097e-10
"Ccl22",2.28912662642164e-14,0.514712781723717,0.559,0.219,3.23774070041077e-10
"Cldn5",3.42528228155323e-14,-1.28858314967748,0.57,0.778,4.84471925902889e-10
"Cd4",7.42221284702666e-14,0.396020828931911,0.602,0.244,1.04979778508345e-09
"Spock2",1.63585456295361e-13,-1.06826153959862,0.366,0.672,2.31375269384158e-09
"Myo1c",2.22536378315299e-13,-0.608307649710074,0.882,0.98,3.14755453489159e-09
"Basp1",2.35739416507002e-13,0.574579919392643,0.946,0.873,3.33429830707504e-09
"Igfbp2",2.42050956799879e-13,-1.51562329664724,0.441,0.716,3.42356873297748e-09
"Acer2",2.52678199392844e-13,-0.924624788851985,0.624,0.852,3.57388045221239e-09
"Cd52",5.0365072822888e-13,0.458853195017211,1,0.987,7.12363590006928e-09
"Tmsb4x",5.76704065649673e-13,0.326517545377571,1,1,8.15690230454897e-09
"Rack1",9.38400926797088e-13,0.297674571639035,1,1,1.3272742708618e-08
"H2-Eb1",1.06313052253745e-12,0.380388906366672,1,1,1.50369181107697e-08
"Slc9a3r2",1.34466265396333e-12,-0.867448690238369,0.516,0.797,1.90189085776573e-08
"Sh3bp1",1.83095818776968e-12,0.455938699289425,0.731,0.36,2.58970726078143e-08
"Epas1",2.30950345423122e-12,-1.07616633493992,0.796,0.89,3.26656168566463e-08
"Egfl7",2.60747012091672e-12,-0.807229252178828,0.581,0.828,3.68800573902461e-08
"Cdk1",3.00791323438819e-12,0.396453745676611,0.613,0.273,4.25439247871866e-08
"Fmo2",4.45444661491389e-12,-0.972777316350077,0.538,0.756,6.3003692921342e-08
"C3",4.69634023163327e-12,0.413851355265705,1,1,6.64250362362209e-08
"Dnaaf3",6.68938025754483e-12,0.424654910359364,0.645,0.298,9.46145943627141e-08
"Hist1h3d",8.21140156510683e-12,0.497723810104952,0.828,0.524,1.16142063736871e-07
"Slc8b1",1.26709577263432e-11,0.430160773923433,0.699,0.351,1.79218026081399e-07
"Cd3d",1.44267522712342e-11,0.657643211884458,0.753,0.485,2.04051984124337e-07
"Adap1",1.57226008095613e-11,0.435591038783045,0.656,0.319,2.22380465850435e-07
"Nabp1",1.68186235495329e-11,0.359627219241145,0.624,0.285,2.37882611484593e-07
"Lck",1.78816526667747e-11,0.608676158255543,0.925,0.688,2.52918095318862e-07
"Cd3e",2.03085894031323e-11,0.529761571318917,0.742,0.436,2.87244688517903e-07
"Hist1h2bj",2.45406757954658e-11,0.595610513466711,0.849,0.492,3.47103318451069e-07
"Qk",5.99760307098332e-11,-0.625061597585838,0.753,0.917,8.48300978359881e-07
"Hist1h3b",6.23416416303108e-11,0.412016480290236,0.613,0.311,8.81760179219116e-07
"Evi2a",7.53697160715353e-11,0.369035326528081,0.667,0.329,1.0660292641158e-06
"Ace",7.62359471140751e-11,-0.921255970958681,0.505,0.708,1.07828123598148e-06
"S100a4",7.73521701229676e-11,0.420476711877951,0.602,0.296,1.09406909421925e-06
"Ptpn22",7.86532905136966e-11,0.360269600502773,0.634,0.292,1.11247214102572e-06
"Strip2",9.25873033590245e-11,0.256527559659821,0.333,0.107,1.30955481871004e-06
"Ptprc",1.10455927663227e-10,0.44289009487569,1,0.991,1.56228864086868e-06
"Timp2",1.20803123096914e-10,-0.625459491204645,0.828,0.928,1.70863937308276e-06
"Bcam",1.48834244067018e-10,-0.633396280119925,0.645,0.864,2.1051115480839e-06
"Rassf5",1.64261573460199e-10,0.383781911897268,0.634,0.306,2.32331569502105e-06
"Krt7",1.78224368098107e-10,-0.585310885219937,0.86,0.96,2.52080546237962e-06
"Ppt1",1.85113103964318e-10,0.442122241366035,1,0.987,2.61823974247132e-06
"Rinl",1.96110990893157e-10,0.503398488501221,0.731,0.428,2.77379385519281e-06
"Tekt1",2.25100127809908e-10,0.375262268765113,0.323,0.109,3.18381620774334e-06
"Pak1",2.27663717498433e-10,0.390709088452904,0.613,0.305,3.22007562029784e-06
"Hist1h1d",2.46427247670662e-10,0.519088932371194,0.914,0.798,3.48546699105385e-06
"Tagap",2.47838814051042e-10,0.409813777313715,0.602,0.294,3.50543218593794e-06
"Mreg",2.69988545329207e-10,0.445141540069658,0.742,0.424,3.8187179851363e-06
"Selenop",3.07027444135165e-10,-0.614979452367914,0.849,0.951,4.34259616984777e-06
"Ighg2b",3.85653470320004e-10,0.861290657516421,0.624,0.353,5.45468268420614e-06
"Cacnb3",3.99359209174784e-10,0.498814086576565,0.591,0.313,5.64853665456815e-06
"Lat",4.18910704139647e-10,0.395000896022065,0.602,0.298,5.92507299935117e-06
"Ppp1r14a",4.37733292934072e-10,-0.777016277633313,0.538,0.756,6.19129969525952e-06
"F2r",4.57977584205649e-10,-0.565376331844342,0.774,0.896,6.4776349510047e-06
"Cryab",4.80983089192042e-10,-0.604111952162319,0.677,0.89,6.80302481353224e-06
"Syngr2",5.72216051145025e-10,0.40071239816438,0.989,0.987,8.09342382739523e-06
"Gpr132",5.98679023005138e-10,0.326059835975505,0.473,0.201,8.46771610138467e-06
"Cfap45",6.11629963483237e-10,0.339313424091291,0.333,0.117,8.6508942035069e-06
"Tnfrsf18",6.53368323040971e-10,0.350168170365818,0.559,0.263,9.2412415610915e-06
"Ccl8",6.58897662688796e-10,0.595000636923229,0.817,0.61,9.31944854107033e-06
"Xdh",7.48187609046197e-10,-0.512952774509275,0.86,0.956,1.05823655423494e-05
"Bri3bp",8.18666202941896e-10,0.355950192101071,0.602,0.295,1.15792147744102e-05
"Ighj4",9.77267778733734e-10,0.671783908373193,0.978,0.977,1.38224754624099e-05
