"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Igfbp2",1.27760090961512e-126,1.4188105337843,0.953,0.598,1.80703872655962e-122
"Cldn5",2.12954539246525e-124,1.21553261912785,0.981,0.678,3.01202900310285e-120
"Epas1",1.74622111718529e-115,1.11414776620467,0.991,0.841,2.46985514814688e-111
"Tns1",1.28217211251554e-112,0.978866883306888,0.998,0.854,1.81350423594197e-108
"Inmt",6.13849326272209e-109,1.16703919200132,0.941,0.553,8.68228487079412e-105
"Pakap.1",2.12789200556004e-97,0.86989749184584,0.988,0.868,3.00969045266412e-93
"Ager",5.85730982317117e-95,0.719737325234346,1,0.949,8.28457901389331e-91
"Vegfa",1.34783954107325e-93,0.890944877356308,0.993,0.855,1.90638424689401e-89
"Ace",2.24020092402566e-93,0.973867157784158,0.92,0.605,3.16854018694189e-89
"Spock2",4.83336992870258e-91,0.928460196262997,0.913,0.549,6.83631842715693e-87
"Timp3",1.32767787343754e-89,0.793479592632224,1,0.916,1.87786758419006e-85
"Slc9a3r2",1.83011953738722e-89,0.888103421157943,0.962,0.709,2.58852107368049e-85
"Cd74",2.95634304036074e-88,-0.347718078632863,1,1,4.18145159628623e-84
"Acer2",1.28840788041022e-86,0.870112738454781,0.981,0.782,1.82232410605221e-82
"Egfl7",5.7811323065308e-85,0.846037158462022,0.965,0.753,8.17683353435717e-81
"C3",7.47850716991154e-82,-0.602591751768396,1,1,1.05776005411229e-77
"Aqp1",1.09276004253937e-81,0.900140883574536,0.908,0.614,1.54559980416769e-77
"Fmo2",1.41892948176583e-81,0.916835564419896,0.929,0.668,2.00693385900959e-77
"App",6.82539278748288e-77,0.474545253633487,1,1,9.65383555861578e-73
"Clic5",2.43328181477585e-76,0.675507617812645,0.998,0.918,3.44163379881897e-72
"Tspan7",2.28332025198201e-74,0.884134802933322,0.761,0.395,3.22952816440336e-70
"Cavin2",6.05626657190764e-74,0.875902328686846,0.775,0.44,8.56598343930617e-70
"Rasip1",2.16928418002486e-73,0.783812479062363,0.891,0.62,3.06823554422717e-69
"Cyp4b1",1.06717959181888e-66,0.784048546512181,0.9,0.608,1.50941881466862e-62
"H2-Eb1",1.04916385497122e-65,-0.451469734312999,1,1,1.4839373564713e-61
"Ppp1r14a",9.4636011682817e-63,0.736877979126696,0.908,0.676,1.33853174924176e-58
"Car4",1.43588078743458e-62,0.809296922109224,0.69,0.339,2.03090978574747e-58
"Ndst1",1.86328677761339e-60,0.647083999842587,0.978,0.842,2.63543281825637e-56
"Thbd",1.69027390012145e-58,0.766003947551223,0.676,0.34,2.39072340433178e-54
"Eng",2.07687139129356e-58,0.684658369194164,0.924,0.722,2.93752689584562e-54
"Mfap4",3.83933643206945e-58,0.700063914345318,0.922,0.713,5.43035744951903e-54
"H2-Ab1",4.08804228280257e-58,-0.470621657456244,1,1,5.78212700479596e-54
"Tmcc2",2.08425804815174e-57,0.792148341355072,0.772,0.476,2.94797458330582e-53
"Plvap",6.29672369089668e-57,0.635869570310689,0.976,0.836,8.90608598840427e-53
"H2-DMb2",1.21616905474712e-56,-0.653240138080341,0.997,0.999,1.72014951103433e-52
"Sptbn1",1.93646587773907e-55,0.601816036482732,0.971,0.861,2.73893733747414e-51
"Clec14a",1.19772635452325e-53,0.724450300507556,0.721,0.42,1.69406415583768e-49
"Adgre5",4.46776256312157e-53,0.574335893374924,0.969,0.885,6.31920336927915e-49
"Ramp2",7.49153459326377e-52,0.662093565273166,0.659,0.35,1.05960265287123e-47
"Cd93",4.38555001785825e-51,0.666340459333384,0.754,0.497,6.20292194525871e-47
"Sftpc",1.89532192749512e-50,0.458744366046379,1,1,2.6807433342491e-46
"C1qa",4.16587785102691e-50,-0.536302846929707,0.997,0.994,5.89221763249247e-46
"Cdc42bpg",5.081542464437e-50,0.657495914606191,0.792,0.567,7.1873336616997e-46
"Prx",1.38114785710128e-49,0.661232969101507,0.587,0.271,1.95349552908405e-45
"Selenop",3.7636213509833e-48,0.543541330616129,0.993,0.927,5.32326603883078e-44
"Slco2a1",7.96097148877754e-47,0.602870484520842,0.901,0.709,1.1259998073727e-42
"Psap",1.26867826880804e-46,-0.437994228843155,1,1,1.79441854340209e-42
"Jup",4.04740182247853e-46,0.552292873158302,0.964,0.847,5.72464513771364e-42
"Pcolce2",1.08159438994594e-45,0.626783356746023,0.676,0.375,1.52980710513954e-41
"Ahnak",2.00480374746498e-45,0.488445660508448,0.984,0.925,2.83559442041446e-41
"Timp2",2.18479395357893e-45,0.515756438863665,0.988,0.896,3.09017256794205e-41
"Rnf144a",3.50805403538223e-45,0.658689878472987,0.649,0.374,4.96179162764463e-41
"Gsn",1.04267853805848e-44,0.544116453223262,0.972,0.837,1.47476452422992e-40
"Tmem100",2.63158626228088e-42,0.633050863709527,0.548,0.264,3.72211560937007e-38
"Ccl8",3.49375348221648e-42,-0.646970164078723,0.393,0.716,4.94156492524698e-38
"Krt80",5.75560943331553e-42,0.609299808419557,0.635,0.352,8.14073398248149e-38
"Ly6e",1.98054379810343e-41,-0.400604015584881,1,1,2.80128114803749e-37
"Serpina3g",2.4506279688675e-41,-0.465562784079002,0.998,0.999,3.46616819916619e-37
"Cd52",4.1826975684578e-41,-0.621236697686376,0.986,0.988,5.91600744082671e-37
"Icam2",5.16557751434407e-41,0.624283847735988,0.657,0.399,7.30619283628826e-37
"Smad6",7.47672182035229e-41,0.618578212157523,0.59,0.311,1.05750753427063e-36
"Cryab",1.13600107851138e-40,0.482381921516295,0.983,0.836,1.60675992544649e-36
"Jun",8.01793819621392e-40,0.487214757157625,0.964,0.822,1.1340571784725e-35
"Cfb",2.15599090588366e-39,-0.583405578122443,0.772,0.888,3.04943353728184e-35
"Efnb2",6.55810207963106e-39,0.622953506973184,0.618,0.373,9.27577958143017e-35
"Ctss",2.59050578555895e-38,-0.510557640183666,1,1,3.66401138309458e-34
"Myct1",4.72095665993337e-38,0.557361623689422,0.548,0.287,6.67732109980976e-34
"Rack1",1.31752632614614e-37,-0.374560666364023,1,1,1.8635092357011e-33
"Kdr",5.21099392100764e-37,0.557778568272901,0.687,0.46,7.37042980187321e-33
"Pecam1",8.20985362085746e-37,0.599564697825822,0.708,0.511,1.16120169613408e-32
"Igha",2.25808593878641e-36,-1.0159924228186,1,1,3.19383675181951e-32
"Bst2",6.60743629297294e-36,-0.468265549449068,0.983,0.985,9.34555789278093e-32
"Ptprb",1.16100694774557e-35,0.551615809885382,0.574,0.315,1.64212822689134e-31
"Txn1",1.60341433816994e-35,-0.352841394525888,1,0.999,2.26786923990756e-31
"Bcam",4.77887092225456e-35,0.495123472836574,0.952,0.812,6.75923503243685e-31
"Serping1",5.24361792915942e-35,-0.481477707924585,0.877,0.936,7.41657319900308e-31
"Cyba",6.70201657578817e-35,-0.394404020006876,0.997,0.999,9.47933224479479e-31
"Mif",2.47935884117272e-34,-0.541504175610252,0.474,0.747,3.5068051449547e-30
"Sec14l3",2.76057538611338e-34,0.418896760979675,0.993,0.885,3.90455782611876e-30
"Tnfaip2",2.97508862403064e-34,-0.551448133048127,0.997,0.999,4.20796534982893e-30
"Id1",3.48199058591996e-34,0.571079554089602,0.728,0.549,4.9249274847252e-30
"Ctsb",4.68253201123629e-34,-0.502469252695025,0.997,0.993,6.62297327669261e-30
"Shank3",7.3683016900719e-34,0.555472554060192,0.642,0.407,1.04217259104377e-29
"Rgs12",1.27384820709487e-33,0.519949608765939,0.727,0.522,1.80173090411499e-29
"Psmb8",1.68638592599306e-33,-0.362336492019322,1,0.998,2.38522425372458e-29
"Igkc",3.83035319650145e-33,-0.880414966968136,1,1,5.41765156113164e-29
"Sema3g",4.00309305331459e-33,0.539326070867047,0.526,0.279,5.66197481460815e-29
"Clu",8.02284240288571e-33,-0.606249379262575,0.943,0.95,1.13475082946415e-28
"Sema3c",1.13296414513491e-32,0.573861142159015,0.514,0.271,1.60246448687881e-28
"F2r",2.13581609695426e-32,0.410375688808384,0.983,0.851,3.0208982875321e-28
"Ankrd33b",2.24225873427137e-32,0.554176182178567,0.621,0.394,3.17145075375342e-28
"Xdh",6.22246862247086e-32,0.406655397183799,0.997,0.933,8.80105961962278e-28
"Jchain",7.37246854211255e-32,-0.980077989694387,0.984,0.966,1.0427619505964e-27
"Socs1",1.04591750573132e-31,-0.459067521886629,0.888,0.934,1.47934572010638e-27
"Krt7",1.12511621119543e-31,0.379340955274487,0.998,0.937,1.59136436911482e-27
"Qk",1.63179118780558e-31,0.442786204206954,0.981,0.879,2.30800545603221e-27
