"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cfap99",2.12288429779174e-40,0.343354710918368,0.273,0.003,3.4596645401112e-36
"Eno4",2.44920468304368e-28,0.516582335033524,0.455,0.015,3.99146887195629e-24
"Spef2",6.33213889838036e-27,0.740283732797221,0.636,0.033,1.03194867626905e-22
"Dnah6",3.98578617518214e-26,0.674981083094808,0.545,0.025,6.49563572969434e-22
"Efcab1",1.41107128380306e-24,0.514012975421391,0.455,0.018,2.29962287121385e-20
"Ccdc121",1.58220200870819e-22,0.522380179571637,0.364,0.013,2.57851461359173e-18
"Alox12e",1.49780700709919e-21,0.582983560756034,0.545,0.03,2.44097607946955e-17
"Ggt6",2.92530209121012e-21,0.509527577499574,0.455,0.021,4.76736481804513e-17
"Fam81b",3.54695969629698e-21,0.74344823294928,0.545,0.032,5.78048021705518e-17
"Dpp6",1.73622954061556e-20,0.427335570274441,0.364,0.014,2.82953328234119e-16
"Ccdc81",1.39267609653517e-19,0.594433581499572,0.455,0.024,2.26964423452336e-15
"Efcab6",1.39267609653517e-19,0.594433581499572,0.455,0.024,2.26964423452336e-15
"Nek11",2.50032302229115e-19,0.735865061530216,0.545,0.035,4.07477642942788e-15
"Kif27",6.57587587808995e-19,0.674981083094808,0.455,0.024,1.07167049185232e-14
"Sntn",2.19039400589394e-18,1.24390592315392,0.727,0.068,3.56968511140536e-14
"Gm12695",4.531954189778e-18,0.516582335033524,0.364,0.016,7.3857257430812e-14
"Cabcoco1",1.68352843534395e-17,0.501234370700088,0.455,0.026,2.74364629108004e-13
"Cfap46",2.55675099468288e-17,0.78239679854548,0.636,0.053,4.1667370960347e-13
"Wdr38",7.51094387681143e-17,0.632250057542986,0.636,0.053,1.22405852360396e-12
"Prrg4",9.46060457942177e-17,0.784253150988037,0.636,0.055,1.54179472830837e-12
"Dscaml1",1.90942314595484e-16,0.332966222892254,0.273,0.01,3.11178690096261e-12
"Ccdc40",7.65474058692871e-16,0.332966222892254,0.273,0.01,1.24749307345177e-11
"Barx2",8.62338067506906e-16,0.645311839310514,0.545,0.043,1.405352348616e-11
"Cfap97d2",1.00655999486914e-15,0.496154453335735,0.455,0.029,1.64039082363824e-11
"Gm973",1.29143939333859e-15,0.564725339240884,0.545,0.043,2.1046587793239e-11
"Ccdc96",1.94175317936231e-15,0.904522911299851,0.636,0.061,3.16447515640676e-11
"Pifo",2.96697130108073e-15,0.664812265376517,0.455,0.031,4.83527312937126e-11
"Ggt1",5.9812681234882e-15,0.417698293015408,0.364,0.02,9.74767266084873e-11
"Kif19a",6.88747938056113e-15,1.01908267556271,0.818,0.108,1.12245251465005e-10
"Elmod1",9.70077548038881e-15,0.331672905870733,0.273,0.011,1.58093538003896e-10
"Hs6st2",9.70077548038881e-15,0.331672905870733,0.273,0.011,1.58093538003896e-10
"Casc1",1.16674608741507e-14,0.417698293015408,0.364,0.02,1.90144609866034e-10
"Gm281",1.16674608741507e-14,0.417698293015408,0.364,0.02,1.90144609866034e-10
"Cfap58",1.74895664687379e-14,0.492988564330179,0.455,0.032,2.85027464741022e-10
"4930444P10Rik",3.12774675167899e-14,0.509527577499574,0.364,0.021,5.09728888121125e-10
"Nhlrc4",3.56060456331864e-14,0.831912727686462,0.636,0.067,5.80271725684039e-10
"Armc2",7.48798262128639e-14,0.553507783488127,0.545,0.048,1.22031652779104e-09
"Pih1d2",1.39641721965282e-13,0.760304907289448,0.636,0.068,2.2757411428682e-09
"Rfx3",1.46608138668371e-13,0.415139188058999,0.364,0.022,2.38927283587844e-09
"Akap14",1.50638674064432e-13,0.414500120477835,0.364,0.022,2.45495847122805e-09
"Aqp4",2.29024779168462e-13,0.711491466177618,0.545,0.052,3.73241682610843e-09
"Mgat3",3.11685298445947e-13,1.04738281880086,0.818,0.125,5.0795353087736e-09
"Cdiptos",4.22829636256543e-13,0.488567958863928,0.455,0.036,6.89085458207289e-09
"Ccdc190",6.50180418362989e-13,0.631012223884132,0.545,0.053,1.05959902780616e-08
"Vwa3b",7.74453220348968e-13,0.781778544822331,0.545,0.054,1.26212641320271e-08
"Osr2",7.93147556034623e-13,0.412584614499307,0.364,0.024,1.29259257206963e-08
"Slc5a9",1.0177663343537e-12,0.655343657503836,0.455,0.038,1.65865379509622e-08
"Slc35g3",1.45516681935307e-12,0.328444676640802,0.273,0.014,2.3714853654997e-08
"Nr1i2",1.4912904741994e-12,0.327799896723527,0.273,0.014,2.43035608580276e-08
