"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gsn",1.95240332505176e-18,0.739482149395714,0.977,0.87,2.76147926295321e-14
"Clec3b",5.94927299745004e-16,0.726999737589433,0.87,0.702,8.41465172759334e-12
"Cst3",6.63638961135401e-15,0.428830798366629,1,1,9.38650946629911e-11
"Ltbp4",1.73944254011677e-14,0.588340920273394,0.863,0.628,2.46026752874116e-10
"Selenop",1.12272066103271e-13,0.435344512208956,0.992,0.943,1.58797610296467e-09
"H2-DMb2",1.39557908725959e-13,-0.592487193875409,0.985,0.999,1.97390706101996e-09
"Gimap7",3.60686538374384e-13,-0.638590754672009,0.198,0.536,5.10155039876729e-09
"Ctsz",2.33917193813041e-12,-0.489723289891964,0.985,0.99,3.30852478929165e-08
"Inmt",7.76071845554081e-12,0.585092219002683,0.931,0.649,1.09767601835169e-07
"Tnfaip2",6.43597127754856e-11,-0.528802609133897,1,0.998,9.10303777496468e-07
"Mreg",7.18020543634267e-11,-0.457115151547662,0.153,0.46,1.01556825691631e-06
"Fmo2",1.58162098991997e-10,0.44353408839064,0.924,0.733,2.23704472814281e-06
"Cyp2f2",2.26675232237049e-10,0.961136124020985,0.977,0.884,3.20609448476083e-06
"Cyba",3.14768620767857e-10,-0.366935239904624,1,0.998,4.45208737214056e-06
"Cd14",3.77378790453769e-10,-0.475857495417795,0.183,0.494,5.33764561217811e-06
"Cybb",4.21326554940902e-10,-0.471277353830412,0.962,0.98,5.95924279308411e-06
"Trac",5.83940088676438e-10,-0.505133703240265,0.183,0.473,8.25924861423955e-06
"Capg",5.92839089457889e-10,-0.496228618619253,0.366,0.653,8.38511608129238e-06
"Ctss",9.01850559892634e-10,-0.443603105640572,1,1,1.27557743191214e-05
"Vamp8",1.55147728013405e-09,-0.352154313695196,1,0.998,2.1944094650216e-05
"Krt8",1.73253792595734e-09,-0.492711869604584,0.191,0.468,2.45050164247405e-05
"Lgals3",2.57270351564401e-09,-0.501023621289328,0.992,0.984,3.63883185252689e-05
"Ogn",3.58372171619933e-09,0.428946871202805,0.496,0.273,5.06881599539234e-05
"Eln",3.8956320411381e-09,0.53201981689262,0.779,0.643,5.50998195898572e-05
"Cbr2",4.77582019555766e-09,0.658661135322288,0.733,0.591,6.75492008459675e-05
"Cst7",6.72530832389466e-09,-0.526473803073925,0.252,0.524,9.51227609331661e-05
"Clec4e",1.36542934989446e-08,-0.347088210389867,0.046,0.274,0.000193126327249073
"Pkm",2.15569601099214e-08,-0.379073779257716,0.939,0.98,0.000304901643794729
"Cd300lf",2.25057399702017e-08,-0.389650120955311,0.511,0.757,0.000318321186138532
"Arhgdib",2.32443384227175e-08,-0.433343008672302,0.855,0.936,0.000328767922650916
"Tns1",2.47350839860342e-08,0.350782250630499,0.992,0.89,0.000349853027898468
"Cd3d",2.66387859959142e-08,-0.439780162265659,0.252,0.515,0.00037677898912621
"Limd2",3.37518885326509e-08,-0.399671553466485,0.977,0.974,0.000477386711405814
"Acp5",4.47828095638319e-08,-0.400046796667989,0.191,0.452,0.000633408058470839
"Nbl1",4.73646744722226e-08,0.347250582552028,0.985,0.926,0.000669925955735116
"Bhlhe40",5.04401444135847e-08,-0.396210154176013,0.58,0.804,0.000713425402585741
"Ppp1r14a",5.29926811677185e-08,0.396934047370622,0.885,0.735,0.000749528482436211
"Hmox1",5.7548058394263e-08,-0.404351415482986,0.16,0.42,0.000813959737928456
"Serpina3g",5.81482703566375e-08,-0.368913850592713,1,0.998,0.000822449135924281
"Slc26a4",5.99790584934894e-08,-0.437481485158418,0.183,0.431,0.000848343803331914
"Mgp",6.41152075203751e-08,0.336884080096282,1,0.991,0.000906845495168186
"Psme1",6.5961748268764e-08,-0.349593145724012,0.947,0.976,0.000932962967513398
"Clu",6.83245790471524e-08,-0.479291532571174,0.901,0.952,0.000966382846042923
"Sod2",8.05166952431539e-08,-0.3763622691206,0.985,0.986,0.00113882813751917
"Nos2",1.26663353338435e-07,-0.625567352449593,0.595,0.75,0.00179152646961882
"Ptgis",1.28332454395479e-07,0.45596457039648,0.656,0.48,0.00181513423496965
"Cxcl10",1.43504656806489e-07,-0.509479120310435,0.42,0.656,0.00202972986587098
"Glipr2",1.47083690106525e-07,-0.374553576107887,0.504,0.721,0.00208035171286668
"Fcer1g",1.79351955603849e-07,-0.41003965990391,0.237,0.469,0.00253675406006084
"Ctsd",2.205289690725e-07,-0.380303494157063,0.954,0.979,0.00311916173856143
"Il4i1",2.23221803246784e-07,-0.4065468590829,0.168,0.394,0.00315724918512251
"Oasl2",2.24246322362601e-07,-0.387074499522237,0.809,0.887,0.00317173998349663
"Txn1",2.30613742975131e-07,-0.271044022161556,1,0.999,0.00326180078064026
"Ly6e",2.63622289139638e-07,-0.290474715864476,1,1,0.00372867365759104
