"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Inmt",5.94762094842276e-120,-1.53469085758921,0.851,0.988,9.69283785964457e-116
"Igfbp2",9.55849394588023e-111,-1.48839779060655,0.881,0.988,1.5577477583601e-106
"Tns1",6.01675502343517e-110,-1.07627862903321,0.978,0.998,9.8055056616923e-106
"Cldn5",1.42716567021839e-108,-1.34387788728742,0.873,0.987,2.32585189275491e-104
"Epas1",1.17995021431282e-104,-1.14115132385359,0.923,0.991,1.92296486426561e-100
"Cd74",5.80405247605642e-99,0.477975671998273,1,1,9.45886432022915e-95
"Pcolce2",1.26997729980642e-98,-1.27356545250354,0.624,0.936,2.06968200549452e-94
"Fmo2",2.25332680748999e-98,-1.16746076638218,0.851,0.977,3.67224669816644e-94
"C3",6.99800855544281e-95,0.831667724539706,0.997,0.997,1.14046545428051e-90
"Acer2",2.88157145306805e-92,-1.08327471813108,0.892,0.983,4.696096997065e-88
"H2-Ab1",6.25600411132188e-92,0.739252564025146,1,0.996,1.01954099002213e-87
"Ppp1r14a",1.75038662284308e-89,-1.10634421323935,0.843,0.964,2.85260507924738e-85
"Aqp1",1.09073678631708e-88,-1.11364395089881,0.79,0.971,1.77757374066094e-84
"C1qa",9.45434615569741e-87,0.851487282323329,0.997,0.933,1.54077479299401e-82
"Vegfa",6.74040239783404e-86,-1.0296613912972,0.881,0.979,1.09848337877501e-81
"Ighj1",1.29841335310724e-85,1.42907101485531,0.986,0.942,2.11602424155887e-81
"H2-DMb2",2.16946883890763e-85,0.89927066614551,0.997,0.952,3.53558336676776e-81
"Mfap4",3.1486527583304e-84,-1.07330864602421,0.892,0.974,5.13135940025105e-80
"Pakap.1",1.07212307852097e-83,-0.887985105484955,0.975,0.993,1.74723898106563e-79
"H2-Eb1",1.86787305636546e-83,0.704359350631447,1,0.999,3.0440727199588e-79
"Gbp2b",3.13282241544567e-83,0.908533416314579,0.997,0.97,5.1055606904518e-79
"Jchain",3.34677309352499e-83,1.5321050599795,0.994,0.98,5.45423611051768e-79
"Eng",3.96332184629859e-83,-0.96745620093358,0.859,0.98,6.45902561291282e-79
"Serpina3g",9.45103642784767e-83,0.820444412069662,0.997,0.957,1.54023540664633e-78
"Ighm",1.03705896202084e-82,1.464694711306,0.997,0.978,1.69009499040537e-78
"Timp3",1.91521329654572e-81,-0.786736705305786,0.992,0.998,3.12122310938056e-77
"Sptbn1",3.6837170552267e-81,-0.830724478770438,0.95,0.99,6.00335368490295e-77
"Iglc1",1.08080781954643e-79,1.31017865124285,0.901,0.607,1.76139250351482e-75
"Spock2",3.35248598151973e-79,-1.04148195809566,0.793,0.958,5.4635464040827e-75
"Egfl7",3.53078775347794e-79,-0.973070800431006,0.812,0.976,5.75412480184299e-75
"Tmcc2",1.01589568069773e-77,-1.03784377721728,0.685,0.928,1.65560519083309e-73
"Psap",1.0996959281236e-77,0.536506080130104,1,1,1.79217445406303e-73
"Clic5",6.48088516734236e-77,-0.788053646890656,0.986,0.997,1.05618985572178e-72
"Igha",5.51274994973001e-76,1.41199203237902,1,1,8.984128593075e-72
"Ace",7.55462519136301e-76,-1.02557856430414,0.704,0.927,1.23117726743643e-71
"Cavin2",2.0690838719851e-75,-0.985739513537346,0.702,0.945,3.37198598617411e-71
"Tnfaip2",3.26915375526967e-75,0.892335544005531,1,0.966,5.32773987496299e-71
"Cyp4b1",2.6471987897552e-74,-0.918953050671096,0.751,0.966,4.31413986766404e-70
"Slc9a3r2",2.80613940432967e-73,-0.920427121517043,0.837,0.968,4.57316538723606e-69
"Ctss",7.18875302535076e-73,0.758241606877327,1,1,1.17155108054141e-68
"Plvap",1.59923898639579e-72,-0.870245228761743,0.942,0.988,2.60627977612922e-68
"Fhl1",1.89142202457516e-72,-0.931757204926445,0.613,0.91,3.08245047345013e-68
"Slpi",9.82202636958614e-72,1.22113371978953,0.986,0.951,1.60069563745145e-67
"Gpx3",1.00070552992537e-71,-0.858604352517895,0.923,0.989,1.63084980211938e-67
"App",6.90221207711183e-71,-0.528963859019872,1,1,1.12485350220691e-66
"Tspan7",2.40422131668375e-70,-1.00913267451749,0.552,0.888,3.91815947979951e-66
"Ager",5.87001075135739e-70,-0.729994145562729,0.994,0.996,9.56635652148714e-66
"Cd52",1.07617224879573e-69,0.707848988203844,0.992,0.914,1.75383791386239e-65
"Clec14a",1.6777175577752e-69,-0.957923251756032,0.663,0.92,2.73417630390624e-65
"Ahnak",2.42907537773435e-69,-0.6707531207234,0.989,0.997,3.95866414309367e-65
"C1qc",4.84473283061397e-69,0.778813360630486,0.964,0.689,7.89546109405159e-65
