"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Des",4.84587104400329e-19,0.617336087724282,0.86,0.749,7.89731604041215e-15
"Car3",9.79088041409154e-18,1.30145651438877,0.53,0.353,1.5956197810845e-13
"Cox8b",4.07575976220262e-16,0.587328436996302,0.258,0.123,6.64226568446162e-12
"Ttn",2.77545668248009e-15,0.987953397211291,0.358,0.211,4.52316175543781e-11
"Acta1",2.92620317362268e-15,0.762233402730017,0.261,0.129,4.76883331205289e-11
"Myh11",4.21627461174474e-15,0.26479979213831,0.485,0.302,6.8712627347604e-11
"Tpm1",2.38987736885255e-14,0.639146314633007,1,1,3.894783148019e-10
"Myom1",1.33564178443206e-13,0.349807878740331,0.259,0.133,2.17669541608892e-09
"Fabp4",3.68989206793858e-13,1.21133525196559,0.515,0.372,6.0134171031195e-09
"Tnnc1",7.57825305117743e-13,0.901432138797008,0.347,0.214,1.23502789975039e-08
"Pgam2",8.66319598989154e-13,0.759571735456221,0.284,0.159,1.41184105047262e-08
"Myl7",1.4369084085994e-12,1.6551316475325,0.775,0.684,2.34172963349444e-08
"Ankrd1",1.55910413993166e-12,1.19627195352666,0.786,0.682,2.54087201684662e-08
"Ckmt2",3.93933863223136e-12,0.622597599617321,0.259,0.142,6.41994016894744e-08
"Chpt1",6.78229956936405e-12,0.412892518771568,0.869,0.8,1.10531136081926e-07
"Adprhl1",6.8638184090596e-12,0.702053281164066,0.259,0.145,1.11859648612444e-07
"Jph2",7.77323355117621e-12,0.330656327071872,0.456,0.314,1.26680387183519e-07
"Ryr2",1.02361578104137e-11,0.501285724210427,0.261,0.146,1.66818663836313e-07
"Tpm2",1.37077509232252e-11,0.255470714446903,0.568,0.418,2.23395216795801e-07
"Myl4",1.64918434821947e-11,1.83481496915366,0.82,0.752,2.68767573229327e-07
"Ctss",3.09848032141476e-11,-0.284066899060689,1,1,5.04959337980963e-07
"Cybb",8.51739035914788e-11,-0.261339663341652,0.915,0.94,1.38807910683033e-06
"Ckm",1.35714548954697e-10,1.09461719655433,0.388,0.272,2.2117400043147e-06
"Ndrg2",2.68865377514839e-10,0.355588583211515,0.46,0.333,4.38169905735933e-06
"Slpi",5.65342348379947e-10,-0.469565425075162,0.943,0.961,9.213384251548e-06
"Mb",6.14491736610682e-10,0.884416872608508,0.292,0.185,1.00143718315443e-05
"Eef1a2",6.37072184030082e-10,0.718939288703782,0.263,0.159,1.03823653831382e-05
"Tnnt2",7.00821807057406e-10,0.951926335449152,0.386,0.278,1.14212929896145e-05
"Tcap",7.50509895493008e-10,1.30170348223745,0.519,0.418,1.22310597668495e-05
"Acta2",1.14558496000239e-09,0.268435394911133,0.657,0.52,1.86695980931589e-05
"Cox7a1",1.40082798969508e-09,0.658403451079599,0.295,0.193,2.28292937480606e-05
"Cfd",2.04017214137283e-09,0.708735987483834,0.269,0.163,3.3248685387953e-05
"Cryab",2.23557194745915e-09,0.275919428981449,0.996,0.986,3.64331160277418e-05
"Cox6a2",2.81276017878932e-09,0.978414393867018,0.485,0.376,4.58395526337296e-05
"Hspb7",2.95260559568948e-09,0.962803890779799,0.354,0.251,4.81186133929514e-05
"Ndufb10",3.20388394713132e-09,0.298345745354563,0.928,0.904,5.22136966863992e-05
"Myh6",4.82250895693738e-09,1.74995323009594,0.708,0.634,7.85924284712085e-05
"Reg3g",1.07137828670013e-08,0.291711780634294,0.665,0.553,0.00017460251938352
"Gpd1",1.21866678305148e-08,0.371544217405585,0.305,0.196,0.0001986061256339
"Tnni3",1.45885256077734e-08,1.03715589288169,0.4,0.304,0.000237749201829883
"Slc25a4",1.53100106811717e-08,0.754842920352582,0.991,0.979,0.000249507244071056
"Atp2a2",2.13750703096784e-08,0.749222564333735,0.777,0.701,0.000348349520836828
"Csrp3",5.59591217787812e-08,1.16286526763804,0.417,0.327,0.000911965807628798
"Adamts8",5.91349725342583e-08,0.285383018896306,0.381,0.273,0.000963722647390807
"Fxyd1",6.12898839202502e-08,0.29834506324755,0.737,0.64,0.000998841238248318
"Igfbp5",1.26338615743339e-07,0.252447362042783,0.68,0.596,0.0020589404207692
"Vegfb",1.43709023441365e-07,0.328776897120834,0.519,0.435,0.00234202595502393
"Kcnk3",2.01743454050652e-07,0.288080198373473,0.619,0.52,0.00328781307066347
"Pygm",2.06171109784631e-07,0.294449872149332,0.331,0.238,0.00335997057616013
"Lmod2",3.42453154479983e-07,0.565005563678622,0.267,0.186,0.00558095905856028
"Gbp2b",5.6447597567087e-07,-0.284536492079866,0.973,0.975,0.00919926497550817
"Fabp3",5.69587761284198e-07,1.04619802196622,0.443,0.366,0.00928257174564857
"Aco2",7.3111170089855e-07,0.332353654450833,0.375,0.285,0.0119149273895437
"Acacb",1.25495257108918e-06,0.272546498423835,0.369,0.277,0.0204519620510403
"Cyp2f2",1.27353087186309e-06,0.457611832858736,0.994,0.979,0.0207547326187527
"Mzb1",2.39793244081076e-06,-0.327504274298767,0.491,0.583,0.039079104987893
"H2-DMb2",2.51331904599254e-06,-0.294111479369496,0.951,0.962,0.0409595604925404
"Popdc2",4.07741887585209e-06,0.294965742925673,0.288,0.207,0.0664496954197615
"Mdh1",5.67460880013321e-06,0.413092593552074,0.828,0.798,0.0924790996157709
"Atp5g3",8.68841375297473e-06,0.318672963064685,0.867,0.826,0.141595078932229
"Lpl",1.21850160821089e-05,0.317641531638232,0.735,0.701,0.198579207090128
"Pam",1.43197892301363e-05,0.49605841928249,0.634,0.559,0.233369605083531
"Dbi",1.64558788249579e-05,0.283816249225498,0.888,0.876,0.268181457210339
"Agpat2",1.74897851493997e-05,0.297619573807478,0.29,0.211,0.285031028579766
"Iglc1",2.05141050581976e-05,-0.43526549432472,0.631,0.662,0.334318370133446
"Ndufv1",2.25513729189992e-05,0.25911388567809,0.771,0.721,0.36751972446093
"Uqcr10",3.98622934020058e-05,0.262592732967449,0.922,0.915,0.649635795572488
"Il1rn",4.72337426501373e-05,-0.289373144504718,0.536,0.61,0.769768303969288
"Cxcl10",6.23588021755581e-05,-0.271776288417966,0.438,0.504,1
"Atp5c1",7.10796221107937e-05,0.26778109165225,0.731,0.682,1
"Dsp",9.45152232862063e-05,0.351281998310987,0.367,0.305,1
"Hspb6",0.000113440351305987,0.504765324326063,0.305,0.243,1
"Hadhb",0.000155981766918796,0.32360561867002,0.723,0.703,1
"Uqcrh",0.000170588510752875,0.292244182415757,0.869,0.854,1
"Eno3",0.000181285858494081,0.581614537127561,0.415,0.361,1
"Map1lc3a",0.000237271718657175,0.279774077718863,0.784,0.764,1
"Atp5a1",0.000326426511826346,0.303814714853231,0.884,0.87,1
